sku,description,product_type,product_family,product_dimension,usage,network_interface,ports,uplinks,poe_type,power_configuration,stacking,routing_capabilities,list_price_usd,orderability,sheet,workbook,radio_specification,spatial_streams,indoor_outdoor
LIC-MS220-24-5YR,"EOS Meraki MS220-24 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,530.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24-7YR,"EOS Meraki MS220-24 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,742.59,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24-1D,EOS Meraki MS220-24 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.49,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24P-10YR,"EOS Meraki MS220-24P Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1414.94,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24P-1YR,"EOS Meraki MS220-24P Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,188.66,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24P-3YR,"EOS Meraki MS220-24P Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,424.48,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24P-5YR,"EOS Meraki MS220-24P Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,707.47,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24P-7YR,"EOS Meraki MS220-24P Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,990.45,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-24P-1D,EOS Meraki MS220-24P Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.65,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48-10YR,"EOS Meraki MS220-48 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1859.49,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48-1YR,"EOS Meraki MS220-48 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,247.86,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48-3YR,"EOS Meraki MS220-48 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,557.95,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48-5YR,"EOS Meraki MS220-48 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,929.24,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48-7YR,"EOS Meraki MS220-48 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1301.54,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48-1D,EOS Meraki MS220-48 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48FP-10Y,"EOS Meraki MS220-48FP Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2920.19,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48FP-1YR,"EOS Meraki MS220-48FP Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,389.36,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48FP-3YR,"EOS Meraki MS220-48FP Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,876.06,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48FP-5YR,"EOS Meraki MS220-48FP Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1460.09,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48FP-7YR,"EOS Meraki MS220-48FP Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2044.13,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48FP-1D,EOS Meraki MS220-48FP Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.34,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48LP-10Y,"EOS Meraki MS220-48LP Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2483.66,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48LP-1YR,"EOS Meraki MS220-48LP Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,331.16,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48LP-3YR,"EOS Meraki MS220-48LP Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,745.6,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48LP-5YR,"EOS Meraki MS220-48LP Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1242.33,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48LP-7YR,"EOS Meraki MS220-48LP Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1739.07,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-48LP-1D,EOS Meraki MS220-48LP Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.14,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8-10YR,"EOS Meraki MS220-8 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,489.71,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8-1YR,"EOS Meraki MS220-8 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,65.23,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8-3YR,"EOS Meraki MS220-8 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,146.51,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8-5YR,"EOS Meraki MS220-8 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,244.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8-7YR,"EOS Meraki MS220-8 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,342.19,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8-1D,EOS Meraki MS220-8 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.22,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8P-10YR,"EOS Meraki MS220-8P Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,617.15,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8P-1YR,"EOS Meraki MS220-8P Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,82.29,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8P-3YR,"EOS Meraki MS220-8P Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,185.65,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8P-5YR,"EOS Meraki MS220-8P Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,309.08,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8P-7YR,"EOS Meraki MS220-8P Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,432.51,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS220-8P-1D,EOS Meraki MS220-8P Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.28,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS22P-10YR,"EOS Meraki MS22P Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1769.17,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS22P-1YR,"EOS Meraki MS22P Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,235.82,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS22P-3YR,"EOS Meraki MS22P Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,530.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS22P-5YR,"EOS Meraki MS22P Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,884.08,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS22P-7YR,"EOS Meraki MS22P Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1238.32,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS22P-1D,EOS Meraki MS22P Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.81,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24-10YR,"EOS Meraki MS320-24 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2212.72,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24-1YR,"EOS Meraki MS320-24 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,295.03,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24-3YR,"EOS Meraki MS320-24 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,664.32,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24-5YR,"EOS Meraki MS320-24 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1106.86,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24-7YR,"EOS Meraki MS320-24 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1549.4,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24-1D,EOS Meraki MS320-24 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.01,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24P-10YR,"EOS Meraki MS320-24P Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2438.51,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24P-1YR,"EOS Meraki MS320-24P Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,325.13,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24P-3YR,"EOS Meraki MS320-24P Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,731.55,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24P-5YR,"EOS Meraki MS320-24P Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1219.25,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24P-7YR,"EOS Meraki MS320-24P Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1706.95,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-24P-1D,EOS Meraki MS320-24P Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.12,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48-10YR,"EOS Meraki MS320-48 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,3274.42,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48-1YR,"EOS Meraki MS320-48 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,436.52,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48-3YR,"EOS Meraki MS320-48 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,982.43,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48-5YR,"EOS Meraki MS320-48 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1636.71,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48-7YR,"EOS Meraki MS320-48 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2291.99,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48-1D,EOS Meraki MS320-48 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.51,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48FP-10Y,"EOS Meraki MS320-48FP Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,4162.52,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48FP-1YR,"EOS Meraki MS320-48FP Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,554.94,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48FP-3YR,"EOS Meraki MS320-48FP Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1248.35,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48FP-5YR,"EOS Meraki MS320-48FP Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2081.26,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48FP-7YR,"EOS Meraki MS320-48FP Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2913.16,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48FP-1D,EOS Meraki MS320-48FP Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.92,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48LP-10Y,"EOS Meraki MS320-48LP Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,3808.28,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48LP-1YR,"EOS Meraki MS320-48LP Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,507.77,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48LP-3YR,"EOS Meraki MS320-48LP Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1142.99,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48LP-5YR,"EOS Meraki MS320-48LP Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1904.64,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48LP-7YR,"EOS Meraki MS320-48LP Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2666.3,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS320-48LP-1D,EOS Meraki MS320-48LP Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,1.75,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42-10YR,"EOS Meraki MS42 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1769.17,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42-1YR,"EOS Meraki MS42 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,235.82,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42-3YR,"EOS Meraki MS42 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,530.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42-5YR,"EOS Meraki MS42 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,884.08,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42-7YR,"EOS Meraki MS42 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1238.32,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42-1D,EOS Meraki MS42 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.81,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-24-10YR,"EOS Meraki MS420-24 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,10627.07,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-24-1YR,"EOS Meraki MS420-24 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1416.94,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-24-3YR,"EOS Meraki MS420-24 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,3188.12,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-24-5YR,"EOS Meraki MS420-24 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,5313.53,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-24-7YR,"EOS Meraki MS420-24 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,7438.95,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-24-1D,EOS Meraki MS420-24 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,4.89,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-48-10YR,"EOS Meraki MS420-48 Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,19485.96,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-48-1YR,"EOS Meraki MS420-48 Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,2598.06,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-48-3YR,"EOS Meraki MS420-48 Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,5845.39,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-48-5YR,"EOS Meraki MS420-48 Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,9742.98,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-48-7YR,"EOS Meraki MS420-48 Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,13639.57,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS420-48-1D,EOS Meraki MS420-48 Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,8.96,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42P-10YR,"EOS Meraki MS42P Enterprise License and Support, 10YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1769.17,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42P-1YR,"EOS Meraki MS42P Enterprise License and Support, 1YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,235.82,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42P-3YR,"EOS Meraki MS42P Enterprise License and Support, 3YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,530.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42P-5YR,"EOS Meraki MS42P Enterprise License and Support, 5YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,884.08,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42P-7YR,"EOS Meraki MS42P Enterprise License and Support, 7YR",Meraki-License,Switches,Meraki MS License,,,,,,,,,1238.32,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-MS42P-1D,EOS Meraki MS42P Enterprise License and Support-1 Day,Meraki-License,Switches,Meraki MS License,,,,,,,,,0.81,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24A-1Y,"Meraki Advanced License for C9300-M 24-port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,1985.88,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24A-10Y,"Meraki Advanced License for C9300-M 24-port, 10 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,12829.83,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24A-3Y,"Meraki Advanced License for C9300-M 24-port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,3849.15,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24A-5Y,"Meraki Advanced License for C9300-M 24-port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,6414.92,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24A-7Y,"Meraki Advanced License for C9300-M 24-port, 7 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,8980.68,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48A-1Y,"Meraki Advanced License for C9300-M 48-port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,3646.14,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48A-10Y,"Meraki Advanced License for C9300-M 48-port, 10 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,23275.8,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48A-3Y,"Meraki Advanced License for C9300-M 48-port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,6979.73,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48A-5Y,"Meraki Advanced License for C9300-M 48-port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,11627.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48A-7Y,"Meraki Advanced License for C9300-M 48-port, 7 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,16293.06,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-24A-1Y,"Meraki Advantage License for C9200L 24-Port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,1616.04,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-24A-3Y,"Meraki Advantage License for C9200L 24-Port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,3075.3,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-24A-5Y,"Meraki Advantage License for C9200L 24-Port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,5125.5,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-48A-1Y,"Meraki Advantage License for C9200L 48-Port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,3027.06,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-48A-3Y,"Meraki Advantage License for C9200L 48-Port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,5716.44,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-48A-5Y,"Meraki Advantage License for C9200L 48-Port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,9527.4,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24E-1Y,"Meraki Enterprise License for C9300-M 24-port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,748.73,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24E-10Y,"Meraki Enterprise License for C9300-M 24-port, 10 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,4730.54,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24E-3Y,"Meraki Enterprise License for C9300-M 24-port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,1412.03,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24E-5Y,"Meraki Enterprise License for C9300-M 24-port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,2361.75,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-24E-7Y,"Meraki Enterprise License for C9300-M 24-port, 7 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,3311.48,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48E-3Y,"Meraki Enterprise License for C9300-M 48-port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,2593.91,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48E-5Y,"Meraki Enterprise License for C9300-M 48-port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,4330.55,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9300-48E-7Y,"Meraki Enterprise License for C9300-M 48-port, 7 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,6067.19,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-24E-1Y,"Meraki Essentials License for C9200L 24-Port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,446.22,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-24E-3Y,"Meraki Essentials License for C9200L 24-Port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,832.14,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-24E-5Y,"Meraki Essentials License for C9200L 24-Port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,1447.2,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-48E-1Y,"Meraki Essentials License for C9200L 48-Port, 1 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,808.02,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-48E-3Y,"Meraki Essentials License for C9200L 48-Port, 3 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,1555.74,ICW-ONLY,Sheet1,Cisco Switches MS,,,
LIC-C9200L-48E-5Y,"Meraki Essentials License for C9200L 48-Port, 5 year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,2592.9,ICW-ONLY,Sheet1,Cisco Switches MS,,,
FED-C9300-24A-10Y,"Meraki FedRamp Advanced License for C9300-M 24-port,10year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,16037.29,ICW-ONLY,Sheet1,Cisco Switches MS,,,
FED-C9300-24A-1Y,"Meraki FedRamp Advanced License for C9300-M 24-port,1year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,2482.35,ICW-ONLY,Sheet1,Cisco Switches MS,,,
FED-C9300-24A-3Y,"Meraki FedRamp Advanced License for C9300-M 24-port,3year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,4811.44,ICW-ONLY,Sheet1,Cisco Switches MS,,,
FED-C9300-24A-5Y,"Meraki FedRamp Advanced License for C9300-M 24-port,5year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,8018.64,ICW-ONLY,Sheet1,Cisco Switches MS,,,
FED-C9300-24A-7Y,"Meraki FedRamp Advanced License for C9300-M 24-port,7year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,11225.85,ICW-ONLY,Sheet1,Cisco Switches MS,,,
FED-C9300-48A-10Y,"Meraki FedRamp Advanced License for C9300-M 48-port,10year",Catalyst-License,Switches,Meraki MS License,,,,,,,,,29094.75,ICW-ONLY,Sheet1,Cisco Switches MS,,,
